Species,Site,d13C,d15N,d34S,Season
Mojarra,123,-14.18,7.44,2.11,wet
Silver perch,123,-14.1,8.58,11.97,wet
Bay anchovy,133,-14.58,7.33,7.86,wet
Mojarra,133,-12.32,5.86,1.93,wet
Pigfish,133,-12.22,6.54,1.4,wet
Pinfish,133,-12.37,5.02,2.82,wet
Silver perch,133,-12.76,7.51,7.5,wet
Mojarra,147,-13.35,6.71,2.57,wet
Pinfish,147,-13.92,6.94,5.81,wet
Rainwater killifish,147,-13.31,6.72,8.59,wet
Pigfish,159,-13.34,6.52,1.86,wet
Pinfish,159,-13.12,6.72,6.88,wet
Rainwater killifish,159,-12.37,6.67,6.03,wet
Silver perch,159,-12.44,7.3,8.34,wet
Bay anchovy,169,-15.15,7.5,7.38,wet
Mojarra,169,-12.11,7.87,0.66,wet
Pinfish,169,-11.15,7.81,4.93,wet
Rainwater killifish,169,-12.75,7.79,5.43,wet
Bay anchovy,174,-14.15,7.53,6.56,wet
Mojarra,174,-12.98,5.18,1.71,wet
Pigfish,174,-13.21,6.44,2.41,wet
Pinfish,174,-12.61,4.93,3.99,wet
Silver perch,174,-12.89,7.65,8.15,wet
Bay anchovy,176,-16.1,8.12,10.15,wet
Mojarra,176,-13.51,6.59,4.24,wet
Pinfish,213,-16.71,7.58,9.42,wet
Mojarra,225,-12.57,7.58,2.57,wet
Pinfish,226,-12.52,6.75,6.96,wet
Rainwater killifish,226,-13.58,7.28,7.04,wet
Bay anchovy,229,-14.59,7.96,5.57,wet
Mojarra,229,-9.26,6.12,1.05,wet
Pinfish,229,-11.04,6.26,5.63,wet
Mojarra,239,-12.67,6.16,1.52,wet
Rainwater killifish,239,-12.58,7.25,5.31,wet
Pink shrimp,239,-12.09,3.55,2.85,wet
Mojarra,242,-11.92,5.94,-0.48,wet
Pinfish,242,-14.63,6.24,2.46,wet
Rainwater killifish,242,-13.69,6.23,5.06,wet
Pinfish,252,-14.23,8.18,4.97,wet
Mojarra,253,-13.35,6.97,1.08,wet
Bay anchovy,256,-15.74,7.61,6.33,wet
Pinfish,256,-13.6,6.66,5.44,wet
Rainwater killifish,256,-13.36,7.43,7.5,wet
Bay anchovy,258,-15.22,8.27,6.15,wet
Mojarra,258,-10.17,7.68,1.13,wet
Pinfish,258,-12.11,6.55,6.49,wet
Bay anchovy,265,-15.69,7.12,5.95,wet
Mojarra,265,-14.24,6.15,0.73,wet
Bay anchovy,267,-15.88,8.2,5,wet
Mojarra,267,-13.5,7.78,2.67,wet
Pigfish,267,-13.89,8.14,3.54,wet
Pinfish,267,-14.61,7.61,3.4,wet
Bay anchovy,268,-15.1,8.49,4.81,wet
Pinfish,268,-13.95,7.83,2.58,wet
Rainwater killifish,268,-12.79,7.66,8.63,wet
Bay anchovy,269,-15.48,7.98,5.05,wet
Mojarra,269,-12.17,7.67,2.27,wet
Pinfish,269,-13.95,6.4,4.95,wet
Bay anchovy,271,-15.41,8.2,6.7,wet
Mojarra,271,-11.49,7.33,2.83,wet
Pinfish,271,-11.75,6.74,3.6,wet
Pinfish,275,-14.01,7.63,2.9,wet
Rainwater killifish,275,-13.15,7.62,6.34,wet
Bay anchovy,278,-15.11,8.68,3.77,wet
Pink shrimp,278,-12.83,4.06,1.13,wet
Bay anchovy,279,-15.61,7.88,6.31,wet
Mojarra,279,-13.7,7.86,0.93,wet
Pigfish,279,-14.63,8.62,1.45,wet
Pink shrimp,279,-12.7,5.93,4.5,wet
Silver perch,279,-13.56,7.81,7.21,wet
Bay anchovy,281,-15.29,7.57,4.72,wet
Mojarra,281,-12.02,7.66,-0.31,wet
Pinfish,281,-15.57,6.74,6.99,wet
Pink shrimp,281,-12.59,6.16,3.52,wet
Bay anchovy,283,-14.98,8.46,4.94,wet
Mojarra,283,-11.39,7.67,1.79,wet
Pinfish,283,-11.47,6.67,4.59,wet
Bay anchovy,291,-14.8,8.03,5.72,wet
Mojarra,291,-12.51,7.48,3.89,wet
Pinfish,291,-11.97,6.53,4.32,wet
Rainwater killifish,291,-12.42,8.05,10.11,wet
Pink shrimp,291,-10.87,6.32,5.02,wet
Bay anchovy,292,-14.73,8.55,4.83,wet
Mojarra,292,-11.26,8.28,2.59,wet
Pinfish,292,-12.16,6.77,5.1,wet
Rainwater killifish,292,-12.26,7.96,9.37,wet
Mojarra,294,-10.04,8.53,2.32,wet
Mojarra,296,-11.66,6.8,-0.63,wet
Bay anchovy,145,-16.05,7.77,6.96,dry
Bay anchovy,239,-12.33,4.37,8.35,dry
Bay anchovy,133,-16.36,7.62,8.5,dry
Mojarra,133,-14.41,7.02,1.8,dry
Mojarra,158,-12.99,7.28,3.26,dry
Mojarra,169,-13.82,7.32,2.89,dry
Mojarra,224,-15.81,6.68,7.23,dry
Mojarra,225,-13.11,7.34,8.01,dry
Mojarra,226,-13.06,6.42,10.63,dry
Mojarra,228,-12.74,6.9,8.04,dry
Mojarra,239,-13.12,7.16,7.92,dry
Mojarra,240,-14.06,7.77,9.43,dry
Mojarra,255,-13.09,8.04,7.14,dry
Mojarra,256,-14.25,6.89,7.97,dry
Mojarra,265,-13.77,8.38,3.33,dry
Mojarra,269,-12.86,7.5,7.86,dry
Mojarra,278,-14.08,6.41,10.04,dry
Mojarra,283,-11.84,7.49,7.87,dry
Mojarra,173,-14.07,7.42,9.53,dry
Pigfish,135,-15.73,9.19,5.75,dry
Pigfish,145,-14.02,7.63,5.06,dry
Pigfish,158,-15.12,7.5,7.88,dry
Pigfish,169,-15.15,7.07,6.14,dry
Pigfish,173,-14.13,7.73,7.9,dry
Pigfish,225,-14.13,7.56,6.21,dry
Pigfish,176,-14.15,7.07,8.8,dry
Pinfish,123,-16.03,7.81,8.58,dry
Pinfish,135,-12.69,6.1,10.75,dry
Pinfish,145,-13.48,7.42,7.01,dry
Pinfish,147,-18,6.43,4.62,dry
Pinfish,158,-16.62,8.04,8.1,dry
Pinfish,159,-15.45,7.75,6.96,dry
Pinfish,225,-14.92,7.93,7.62,dry
Pinfish,239,-13.56,7.44,9.59,dry
Pinfish,240,-16.08,6.33,3.11,dry
Pinfish,269,-11.64,7.32,11.39,dry
Rainwater killifish,225,-13.79,7.92,9.14,dry
Rainwater killifish,226,-13.67,7.14,10.08,dry
Rainwater killifish,240,-12.41,6.51,5.92,dry
Rainwater killifish,242,-13.54,6.96,9.99,dry
Rainwater killifish,253,-14.67,7.33,8.44,dry
Rainwater killifish,255,-13.31,7.21,11.17,dry
Rainwater killifish,257,-13.25,6.77,11.28,dry
Rainwater killifish,267,-15.63,6.97,8.95,dry
Rainwater killifish,268,-14.32,7.79,9.46,dry
Rainwater killifish,269,-13.55,7.37,9.98,dry
Rainwater killifish,279,-13.75,6.92,8.99,dry
Rainwater killifish,280,-14.22,6.66,7.78,dry
Rainwater killifish,281,-14.63,6.84,7.89,dry
Rainwater killifish,282,-12.39,6.96,11.26,dry
Rainwater killifish,176,-16.24,5.95,11.62,dry
Rainwater killifish,224,-13.94,4.81,5.77,dry
Rainwater killifish,239,-13.98,4.86,6.25,dry
Rainwater killifish,290,-13.68,7.31,8.81,dry
Pink shrimp,145,-15.3,5.74,9.35,dry
Pink shrimp,158,-14.96,6.54,5.07,dry
Pink shrimp,239,-13.09,7.72,8.29,dry
Pink shrimp,253,-13.92,5.85,7.67,dry
Pink shrimp,267,-14.75,5.92,6.41,dry
Pink shrimp,280,-13.95,5.62,5.31,dry
Pink shrimp,224,-15.17,6.31,8.73,dry
Pink shrimp,237,-13.13,5.73,11.7,dry
Pink shrimp,249,-18.8,11.32,20.51,dry
Silver perch,135,-14.86,7.5,5.76,dry
Silver perch,145,-14.17,8.05,8.36,dry
Silver perch,169,-16.95,7.15,5.34,dry
Silver perch,225,-13.83,8.14,5.55,dry
Silver perch,239,-14.63,6.72,6.79,dry
Silver perch,240,-12.5,3.91,11.61,dry
Silver perch,254,-14.78,7.54,7.65,dry
Silver perch,269,-13.44,7.5,9.54,dry
Silver perch,280,-14.01,7.61,9.02,dry
